584,Bogala 
585,Bogamuwa
586,Bogawanthalawa
587,Bogawatha
588,Bohingamuwa
589,Bokkawala
590,Bolana
591,Bolawalana
592,Bollathe 
593,Bolossagama 
594,Bomburuella
595,Bombuwala 
596,Boogasballa
597,Boombuwa
598,Boossa
599,Bootewa
600,Bop 400
601,Bopagoda
602,Bopana
603,Bopathgama
604,Bope
605,Bopethttha
606,Bopetta
607,Bopitiya
608,Boragas
609,Borakanda
610,Boralanda
611,Boralessa
612,Boralugoda
613,Boraluhena
614,Boralukanda
615,Boraluwawe
616,Bossella
617,Bothalapitiya
618,Bothale
619,Bothalegama
620,Bovitiya Mulla
621,Bowala
622,Bowathenna
623,Bowatta
624,Bowela
625,Boyagama
626,Boyagane
627,Boyagoda
628,Bubula
629,Buddigama
630,Budugehinna
631,Buduruwa Kanda
632,Bujjampola
633,Bulagala
634,"Bulathgama,"
635,Bulathkade Handiya 
636,Bulathkohupitiya
637,Bulathsinhala
638,Bulatkohupitiya City 
639,Bulnewa
640,Bulugahagoda 
641,Bulugahapitiya
642,Buluthota
643,Bunnehepola
644,Buruthakale
645,Buthkanda
646,Buthpitiya
647,Buththala
648,Butthala
649,Buwelikada
650,Casal Milk
651,Centnnalgerammem
652,Centralcampe Savelakkadai
653,Chanakkudiruppu
654,Chilaw
655,Chillaw
656,China Garden
657,Chithragala
658,Daapane
659,Dadalla
660,Dadayankanda
661,Dadubediruppa
662,Daduruoya
663,Dagonna
664,Dahamipura
665,Dahanegedara
666,Dairaba
667,Daiyangegama
668,Dakunu Iwura
669,Daladagama
670,Dalawalla
671,Dalpitiya
672,Daluggala
673,Dalupitiya
674,Dalupotha
675,Daluwa
676,Daluwakotuwa
677,Dambadeniya
678,Dambagalla
679,Dambagolla
680,Dambarawa
681,Dambavinna
682,Dambetenna
683,Dambokka
684,Dambra
685,Dambulla
686,Dambuluhalmillawewa
687,Dambuluoya
688,Damminna
689,Dampahala
690,Dampelessa
691,Damsopura
692,Damunupola
693,Dandagamuwa
694,Dandeniya
695,Dangadara
696,"Dangasmandiya,"
697,Dangedara
698,Dankanda
699,Dankotuwa
700,Dankotuwa 
701,Danovita
702,Danthure
703,Danture
704,Daraluwa
705,Darga Town 
706,Darshanagama
707,Dartyonfeild Road 
708,Daulagala
709,Dauwalagama
710,Davulagala
711,Dayagama
712,Debarawewa
713,Debathgama
714,Debegama
715,Debokkawa
716,Dedigama
717,Dedugala
718,Dedunupitiya
719,Dedunupitiya 
720,Deegalla
721,Deegas Mulla 
722,Deewela
723,Deeyakaduwa 
724,Deeyawala
725,Dehelgamuwa
726,Dehenakanda
727,Dehigahalanda
728,"Dehigasthalawa,"
729,Dehigolla
730,Dehiovita
731,Dehiowita
732,Dehipe
733,Dehiyangalla 
734,Deiyandara
735,Deiyangama
736,Dekatana
737,Dekinda
738,Dela
739,Deldeniya
740,Delgas Handiya
741,Delgas Junction 
742,Deliwala 
743,Deliyawa
744,Dellanga
745,Dellawa
746,Delmalla
747,Delta Estate
748,Deltota
749,Delwala
750,Demadaoya
751,Demanhandiya
